sku,product_title,brand,image_num,image_url,image_type,source
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,3,https://johnsonoutdoors.widen.net/content/imqiah4euk/webp/MK_KayakTerrova_Mounted.webp,studio,widen-cdn
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,4,https://johnsonoutdoors.widen.net/content/yzknfg5vkx/webp/MK_KayakTerrova_FullStow.webp,studio,widen-cdn
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,5,https://johnsonoutdoors.widen.net/content/5ll6d06pjj/webp/MK_KayakTerrova_ControlHead.webp,detail,widen-cdn
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,6,https://johnsonoutdoors.widen.net/content/9k8v51hww1/webp/MK_KayakTerrova_SteeringHousing.webp,detail,widen-cdn
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,7,https://johnsonoutdoors.widen.net/content/byckdx0zyt/webp/MK_KayakTerrova_LeverDetail1.webp,detail,widen-cdn
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,8,https://johnsonoutdoors.widen.net/content/iwu7qr8ir9/webp/MK_KayakTerrova_DepthCollar.webp,detail,widen-cdn
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,9,https://johnsonoutdoors.widen.net/content/jltsqygsfs/webp/MK_KayakTerrova_Cords.webp,detail,widen-cdn
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,10,https://johnsonoutdoors.widen.net/content/h8ajvrmpea/webp/MK_KayakTerrova_Lifestyle1.webp,lifestyle,widen-cdn
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,11,https://johnsonoutdoors.widen.net/content/9jwtro54o3/webp/MK_KayakTerrova_Lifestyle2.webp,lifestyle,widen-cdn
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,12,https://johnsonoutdoors.widen.net/content/meypxdcl2b/webp/MK_KayakTerrova_Lifestyle3.webp,lifestyle,widen-cdn
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,13,https://johnsonoutdoors.widen.net/content/mmzv4xvgpb/webp/MK_KayakTerrova_Lifestyle4.webp,lifestyle,widen-cdn
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,14,https://johnsonoutdoors.widen.net/content/cuc6uhuus4/webp/MK_KayakTerrova_Lifestyle5.webp,lifestyle,widen-cdn
MK-RTKAYAK55-26,Minn Kota Riptide Kayak Terrova 55 lb — Saltwater,Minn Kota,1,https://johnsonoutdoors.widen.net/content/3godaclbqr/webp/MK_KayakTerrova_HeroAlt.webp,hero,widen-cdn
MK-RTKAYAK55-26,Minn Kota Riptide Kayak Terrova 55 lb — Saltwater,Minn Kota,2,https://johnsonoutdoors.widen.net/content/e8ibiuquy3/webp/MK_KayakTerrova_Profile.webp,studio,widen-cdn
MK-RTKAYAK55-26,Minn Kota Riptide Kayak Terrova 55 lb — Saltwater,Minn Kota,3,https://johnsonoutdoors.widen.net/content/imqiah4euk/webp/MK_KayakTerrova_Mounted.webp,studio,widen-cdn
MK-RTKAYAK55-26,Minn Kota Riptide Kayak Terrova 55 lb — Saltwater,Minn Kota,4,https://johnsonoutdoors.widen.net/content/yzknfg5vkx/webp/MK_KayakTerrova_FullStow.webp,studio,widen-cdn
